rank,projectId,projectName,location,owner,territory,priority,sector,stage,ownershipClassification,productRoute,application,contactTeamStatus,totalContacts,effectiveSendReady,actionReady,actionReason,disposition,unsafeCTA,laneFitLabel,airFit,bestProductAngle,channel,likelyBuyer
1,3390006,Youanmi Gold Mine Development,"Youanmi, WA",Rox Resources,WA,hot,mining,Accelerated Construction,RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,14,11,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
2,2430016,Madman Project Drill Test,"Madman Project, WA",Buxton Resources,WA,hot,mining,Drilling underway,RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,4,4,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
3,2280001,Hussar Prospect Drilling Campaign,"EP513, WA",Georgina Energy,WA,hot,oil_gas,Mobilisation/Drilling Imminent,RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",CONTACTS_UNVERIFIED,1,0,False,no_effective_send_ready_contact,KEEP_VALIDATE_CONTACT,False,High,High,Compressor,direct,
4,2250001,Santos Offshore Drilling Program,"Offshore, WA",Santos,WA,hot,oil_gas,"Contract awarded, pre-mobilisation",RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",COMPLETE_BUYING_TEAM,10,3,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
5,1380040,Bellevue Gold Project,WA,Bellevue Gold,WA,hot,mining,Underground mining contract awarded,RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,3,3,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
6,3780038,Goldfields and Agricultural Water Supply Scheme (GAWSS) Upgrade,"Goldfields, WA",Water Corporation (for WA Government),WA,hot,infrastructure,Construction contracts awarded for Stage 1,RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,7,5,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
7,3780012,Goldfields Pipeline Upgrade,"Goldfields-Wheatbelt, WA",Water Corporation (WA Government),WA,hot,infrastructure,"Stage 1 awarded, construction expected to start late 2026",RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",CONTACTS_UNVERIFIED,5,0,False,no_effective_send_ready_contact,KEEP_VALIDATE_CONTACT,False,High,High,Compressor,direct,
8,4140031,British Hill Gold Project,"Southern Cross–Forrestania Greenstone Belt, WA",Forrestania Resources,WA,hot,mining,"Exploration drilling completed, Mineral Resource Estimate upgrade pending",RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,10,7,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
9,120229,Scarborough Gas Project,Offshore WA,"Woodside Energy (73.5%), BHP (26.5% - divested to Woodside)",WA,hot,oil_gas,Construction underway,RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",COMPLETE_BUYING_TEAM,295,7,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
10,4260001,Scarborough Energy Project,"Pilbara, WA","Woodside Energy (75%), BHP (25%)",WA,hot,oil_gas,"First gas achieved, targeting first LNG cargo in Q4 2026",RYAN_WA_DIRECT,DIRECT_LARGE_AIR,"RC, Aircore and DTH drilling",COMPLETE_BUYING_TEAM,16,14,True,all_conditions_met,KEEP_ACTION_READY,False,High,High,Compressor,direct,
