rank,projectId,projectName,location,owner,application,contactTeamStatus,effectiveSendReady,whyNow,bestNextMove,likelyBuyer
1,3390006,Youanmi Gold Mine Development,"Youanmi, WA",Rox Resources,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,11,Awarded and mobilising — equipment decisions imminent. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
2,2430016,Madman Project Drill Test,"Madman Project, WA",Buxton Resources,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,4,Awarded and mobilising — equipment decisions imminent. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
4,2250001,Santos Offshore Drilling Program,"Offshore, WA",Santos,"RC, Aircore and DTH drilling",COMPLETE_BUYING_TEAM,3,Awarded and mobilising — equipment decisions imminent. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
5,1380040,Bellevue Gold Project,WA,Bellevue Gold,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,3,Awarded and mobilising — equipment decisions imminent. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
6,3780038,Goldfields and Agricultural Water Supply Scheme (GAWSS) Upgrade,"Goldfields, WA",Water Corporation (for WA Government),"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,5,Awarded and mobilising — equipment decisions imminent. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
8,4140031,British Hill Gold Project,"Southern Cross–Forrestania Greenstone Belt, WA",Forrestania Resources,"RC, Aircore and DTH drilling",PRIMARY_BUYER_ONLY,7,High-priority opportunity. Strong Portable Air fit.,Contact the contractor directly — procurement contact needed,
9,120229,Scarborough Gas Project,Offshore WA,"Woodside Energy (73.5%), BHP (26.5% - divested to Woodside)","RC, Aircore and DTH drilling",COMPLETE_BUYING_TEAM,7,Awarded and mobilising — equipment decisions imminent. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
10,4260001,Scarborough Energy Project,"Pilbara, WA","Woodside Energy (75%), BHP (25%)","RC, Aircore and DTH drilling",COMPLETE_BUYING_TEAM,14,High-priority opportunity. Strong Portable Air fit.,Contact the contractor directly — procurement contact needed,
12,4260016,Kwinana Freeway Upgrade,"Perth, WA",Main Roads WA (jointly funded by Albanese and Cook Labor Governments),shutdown and temporary plant air,COMPLETE_BUYING_TEAM,1,Awarded and mobilising — equipment decisions imminent. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
14,510033,Barrow Island Decommissioning Work,"Barrow Island, WA",Chevron,"pipeline testing, pigging, drying and commissioning",COMPLETE_BUYING_TEAM,2,Commissioning phase — final equipment procurement. High-priority opportunity.,Contact the contractor directly — procurement contact needed,
