slateId,projectId,status,severity,isStale,generatedAt,totalSlotsFilled,sendReadySlots,namedUnverifiedSlots,llmSlots,computedTotalSlotsFilled,computedSendReadySlots,computedNamedUnverifiedSlots,issueCodes,issueDetails,requiresAction
1,1020004,invalid,error,false,2026-05-04T22:28:44.000Z,4,0,0,4,4,0,4,llm_inferred;enrichment_source_mismatch;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500014 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500017 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500015 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500016 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=4. | Stored llmSlots=4; persisted slates must contain zero LLM slots.,true
2,990005,invalid,error,false,2026-05-04T22:28:44.000Z,4,0,0,4,4,0,4,llm_inferred;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500023 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500022 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500020 is ineligible: llm_inferred. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500021 is ineligible: llm_inferred. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=4. | Stored llmSlots=4; persisted slates must contain zero LLM slots.,true
3,120005,invalid,error,false,2026-05-04T22:28:45.000Z,1,0,0,1,1,0,1,llm_inferred;enrichment_source_mismatch;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500031 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=1. | Stored llmSlots=1; persisted slates must contain zero LLM slots.,true
4,1020010,invalid,error,false,2026-05-04T22:28:46.000Z,5,0,0,5,5,0,5,llm_inferred;enrichment_source_mismatch;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500009 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500006 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500010 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500007 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500008 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=5. | Stored llmSlots=5; persisted slates must contain zero LLM slots.,true
5,990010,invalid,error,false,2026-05-04T22:28:46.000Z,1,0,0,1,1,0,1,llm_inferred;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500019 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=1. | Stored llmSlots=1; persisted slates must contain zero LLM slots.,true
6,1020017,invalid,error,false,2026-05-04T22:28:47.000Z,5,0,0,5,5,0,5,llm_inferred;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500002 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500004 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500005 is ineligible: llm_inferred. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500001 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500003 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=5. | Stored llmSlots=5; persisted slates must contain zero LLM slots.,true
7,960005,invalid,error,false,2026-05-04T22:28:48.000Z,3,0,0,3,3,0,3,llm_inferred;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500027 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500026 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500028 is ineligible: llm_inferred. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=3. | Stored llmSlots=3; persisted slates must contain zero LLM slots.,true
8,960001,invalid,error,false,2026-05-04T22:28:48.000Z,2,0,0,2,2,0,2,llm_inferred;enrichment_source_mismatch;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500030 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Contact 1500029 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=2. | Stored llmSlots=2; persisted slates must contain zero LLM slots.,true
9,120010,invalid,error,false,2026-05-04T22:28:49.000Z,1,0,0,1,1,0,1,llm_inferred;enrichment_source_mismatch;role_relevance_mismatch;trust_tier_mismatch;named_unverified_count_mismatch;llm_count_nonzero,Contact 1500025 is ineligible: llm_inferred. | Snapshot enrichment source differs from the live contact. | Snapshot role relevance differs from the live contact. | Snapshot tier llm_inferred does not match effective tier named_unverified. | Stored namedUnverifiedSlots=0; computed=1. | Stored llmSlots=1; persisted slates must contain zero LLM slots.,true
10,750009,current,ok,false,2026-05-04T22:28:50.000Z,1,0,1,0,1,0,1,,,false
